,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LinearModel,-1.0381817817687988,-2.1837256203963373,root_mean_squared_error,0.004010915756225586,0.0015964508056640625,0.016141414642333984,0.004010915756225586,0.0015964508056640625,0.016141414642333984,1,True,5
1,WeightedEnsemble_L2,-1.0381817817687988,-2.1837256203963373,root_mean_squared_error,0.0050008296966552734,0.0025959014892578125,0.021824121475219727,0.0009899139404296875,0.00099945068359375,0.005682706832885742,2,True,6
2,LightGBM,-3.5,-2.692582403567252,root_mean_squared_error,0.016891002655029297,0.006043910980224609,0.2644369602203369,0.016891002655029297,0.006043910980224609,0.2644369602203369,1,True,1
3,RandomForest,-3.6399999856948853,-2.60069222568496,root_mean_squared_error,0.055204153060913086,0.019019126892089844,0.5836601257324219,0.055204153060913086,0.019019126892089844,0.5836601257324219,1,True,2
4,ExtraTrees,-3.6399999856948853,-2.572566771961381,root_mean_squared_error,0.06599855422973633,0.01806187629699707,0.13100838661193848,0.06599855422973633,0.01806187629699707,0.13100838661193848,1,True,4
5,CatBoost,-3.7596962451934814,-2.5977050168070406,root_mean_squared_error,0.026072263717651367,0.002000093460083008,2.4921555519104004,0.026072263717651367,0.002000093460083008,2.4921555519104004,1,True,3
